half_year,exchange_rate,GDP,exc_growth
1991-H2,1.6978999999999997,6.9,-3.2191502847736286
1992-H1,1.6400492063492067,5.550000000000001,-3.407196751916665
1992-H2,1.6152499999999994,7.699999999999999,-1.512101359715358
1993-H1,1.6308872000000003,10.65,0.968097817675339
1993-H2,1.5978289062500002,12.2,-2.0270128890581844
1994-H1,1.5675288000000003,11.9,-1.8963298342819612
1994-H2,1.4854433070866147,10.4,-5.236617848002895
1995-H1,1.4181349206349216,6.2,-4.531198607889269
1995-H2,1.4148174603174604,8.1,-0.23393121974430992
1996-H1,1.4105650793650801,10.3,-0.3005603953619621
1996-H2,1.40805703125,4.9,-0.1778044949339745
1997-H1,1.4271767999999998,7.6,1.3578831201905384
1997-H2,1.5416328125000007,9.0,8.019750075814079
1998-H1,1.6560314516129029,-0.44999999999999996,7.420615219481916
1998-H2,1.684597656249999,-3.8,1.7249795956033191
1999-H1,1.7076274193548384,3.8000000000000003,1.36707795000172
1999-H2,1.6809937499999996,7.55,-1.559688551083427
2000-H1,1.7099714285714294,8.45,1.723842136321432
2000-H2,1.7387690476190474,9.649999999999999,1.6840994280048625
2001-H1,1.7827695999999995,3.15,2.5305576057500856
2001-H2,1.8011811023622053,-4.95,1.0327471571315663
2002-H1,1.8178322580645168,1.55,0.9244576062048327
2002-H2,1.7625000000000002,6.35,-3.043859400065327
2003-H1,1.7464040322580645,1.9500000000000002,-0.9132463967055698
2003-H2,1.7367937499999992,7.1,-0.5502897428402844
2004-H1,1.6983532258064515,11.850000000000001,-2.2133039224460433
2004-H2,1.6807914062499996,8.0,-1.0340498837109025
2005-H1,1.6468936000000005,5.7,-2.016776509205754
2005-H2,1.6808251968503933,9.0,2.0603393473866682
2006-H1,1.6073216000000004,9.65,-4.3730660980170555
2006-H2,1.5692531746031746,8.4,-2.3684386122121266
2007-H1,1.5281895161290324,9.3,-2.6167644035211945
2007-H2,1.4849,8.8,-2.832732175698107
2008-H1,1.3862072000000003,5.75,-6.646427368846373
2008-H2,1.4412187499999993,-1.75,3.968494031772379
2009-H1,1.4919798387096774,-4.45,3.522094665343351
2009-H2,1.4158593750000006,4.8,-5.101976697990021
2010-H1,1.3964435483870963,17.3,-1.3713103826362911
2010-H2,1.3283164062499995,11.9,-4.878617701072429
2011-H1,1.2576440000000004,6.25,-5.3204496998961215
2011-H2,1.2558960629921256,6.55,-0.1389850393175484
2012-H1,1.2631672,5.550000000000001,0.5789600924897553
2012-H2,1.2344606299212595,3.4,-2.2725867231780996
2013-H1,1.2430064516129027,4.0,0.6922717083483086
2013-H2,1.2581937500000009,5.6,1.221819755431795
2014-H1,1.2600927419354837,3.8,0.15093000863204237
2014-H2,1.2731242187499996,4.05,1.0341680719864899
2015-H1,1.3495008064516127,3.05,5.999146554340354
2015-H2,1.399253030303031,2.95,3.6867131619014866
2016-H1,1.3799000000000001,2.9000000000000004,-1.3830972586023067
2016-H2,1.3815541984732822,3.5500000000000003,0.11987814140749878
2017-H1,1.4040430769230772,3.8499999999999996,1.62779559966933
2017-H2,1.3572100000000005,4.8,-3.335586898495318
2018-H1,1.3270506024096385,4.85,-2.222161462880616
2018-H2,1.3711797619047619,2.05,3.3253562008106066
2019-H1,1.3590045161290314,0.6,-0.8879394309916994
2019-H2,1.369226114649682,0.85,0.752138672045453
2020-H1,1.3985910256410259,-6.75,2.144635621331025
