"Country Name","Country Code","Series Name","Series Code","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Singapore","SGP","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.7610062893082","2.0807581376188","19.636730575177","22.368421052632","2.5365315687895","-1.8418929819842","3.1639501438158","4.8725438130642","4.076465375364","8.5269431942586","8.1820219681685","3.916286779942","1.1964107676969","2.6009852216749","0.48012291146535","-1.3857033639144","0.5233065219498","1.5231851923263","2.345456271959","3.4607533865282","3.4257017307864","2.2630711870285","2.2892996438864","3.100132625995","1.7205338478852","1.3831805248188","2.0035861853896","-0.26750229287613","0.016709833737076","1.3616239244846","0.99719795615597","-0.39167686658508","0.50790530023754","1.6627271986307","0.4251062765691","0.96290177816513","2.1048800363321","6.6277817735213","0.59672025742497","2.8236613488561","5.2477933984048","4.5756027037652","2.3586041539984","1.0251480303939","-0.52261816707531","-0.53226873971629","0.57626031016637","0.43862011844678","0.56526056878036",".."
"Singapore","SGP","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","12.413755064383","13.315550718367","10.602619262245","6.1176043505495","3.9816879915483","7.4371768530853","6.8526996802714","7.7772876565305","9.5541733359054","10.113217783616","10.816137334604","7.1021148389739","8.5545996631617","8.7923865624303","-0.6228512403065","1.3428691105974","10.797769905977","11.263750687362","10.158610318798","9.8210491311724","6.6885025132437","6.6396895904468","11.462774739402","11.097647937747","7.2009074900716","7.4713795903943","8.3199165270181","-2.1953778262461","5.7240084235056","9.0391467513396","-1.069015885081","3.914609745413","4.5357796538632","9.8195916770496","7.3590336771345","9.0051437297946","9.0221330140233","1.8682455341607","0.12098274173087","14.525638994063","6.3378708138408","4.4616089510133","4.837298645761","3.9380027286606","2.9885206755771","3.243474168137","4.3366049191817","3.4381110416145","0.73330993455973",".."
"Singapore","SGP","Lending interest rate (%)","FR.INR.LEND","..","..","..","..","..","..","..","7.17","8.503333333","11.721666666","13.645","10.228333333","9.0508333333333","9.7191666666667","8.0641666666667","6.82","6.1","5.9641666666667","6.2116666666667","7.3625","7.5833333333333","5.9525","5.3883333333333","5.8783333333333","6.3691666666667","6.26","6.3225","7.4416666666667","5.8","5.8333333333333","5.6483333333333","5.3458333333333","5.3066666666667","5.3","5.3","5.3125","5.33","5.38","5.38","5.38","5.38","5.38","5.38","5.35","5.35","5.35","5.28","5.33","5.25","5.25"
"Singapore","SGP","Real interest rate (%)","FR.INR.RINR","..","..","..","..","..","..","..","3.0066991154126","3.1050958359716","0.53488396264962","7.3385541781879","5.4483745408399","5.698778458437","8.8615261596594","9.6712179455272","8.1752990929822","5.5379308955233","0.50611088001219","1.9703360556896","2.5456432794179","3.0143951460986","4.5022044795929","1.8704538829505","2.3365516509304","3.1191305848823","4.683226223474","5.184891290502","8.883774641281","9.7316527598434","1.8973578388944","7.6026828579398","6.2902968181721","7.223096294278","1.17849884356","3.3290634377968","3.4039741069668","-0.55348312385718","6.8612742136426","2.3493413098217","4.230742020954","4.2810496096117","4.8867952007091","5.8560757320372","5.6348262070811","2.2217842666274","4.6225359151439","2.4320341124349","2.1735230823521","5.1502481304092",".."
"Singapore","SGP","Real effective exchange rate index (2010 = 100)","PX.REX.REER","..","..","..","..","..","..","..","..","96.257211589212","95.91045008524","101.42122642688","106.35868245599","107.67918537787","109.4357217896","106.7359767775","91.013316658203","85.421023049244","83.738493930641","87.511249425753","93.037642943131","96.061285446417","97.726926285294","98.004114207419","102.52740023946","104.27064384134","107.22079846834","108.56366624517","105.8942502093","98.680486449398","98.52161641912","99.037080047271","96.461674331577","93.075004051964","92.030723438076","90.605488885533","91.824199035677","92.251350958564","97.02611600509","97.03443793779","100","105.17492140233","110.04483540353","112.0243164626","111.31406059017","108.32383374009","108.10336579507","106.81293640574","106.19868536047","106.30801377633",".."
"Singapore","SGP","Consumer price index (2010 = 100)","FP.CPI.TOTL","31.261628771962","31.912107656587","38.178602257971","46.718552763043","47.903583602359","47.021250857869","48.50897979201","50.872601085646","52.94640505445","57.461114936845","62.162595984132","64.597061512727","65.369907712281","67.0701693513","67.392188601114","66.458332776653","66.806113566452","67.823694395865","69.414469489947","71.816733093561","74.276960162142","75.957900646172","77.696804595168","80.105508583779","81.483750972983","82.610818347333","84.265997291378","84.040583816508","84.054626858336","85.199134767275","86.048738797837","85.711705793978","86.147040090629","87.579430357031","87.951736012463","88.798624842454","90.6677293693","96.676988610904","97.253879786214","100","105.2477933984","110.06351427879","112.65947689861","113.81440330709","113.21958855866","112.61695608153","113.26592290194","113.76273002713","114.40578588194",".."
"United States","USA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.2927666881304","3.2722782465528","6.1777600637704","11.054804804805","9.1431468649653","5.7448126354908","6.5016839947284","7.630963838856","11.254471129279","13.549201974968","10.334715340277","6.1314270002749","3.2124352331606","4.3005354752343","3.5456441520937","1.8980477223428","3.6645632175169","4.0777411074441","4.8270030300895","5.3979564399032","4.2349639645385","3.0288196781497","2.9516569663855","2.6074415921546","2.8054196885366","2.9312041999344","2.3376899373074","1.5522790987436","2.1880271969736","3.3768572714993","2.826171118854","1.586031626506","2.2700949733611","2.6772366930917","3.3927468454955","3.2259441007041","2.8526724815014","3.839100296651","-0.35554626629975","1.6400434423899","3.1568415686221","2.0693372652606","1.4648326556271","1.6222229774082","0.11862713555243","1.2615832057054","2.1301100036596","2.4425832969282","1.8122100752601",".."
"United States","USA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","3.2933623777714","5.2588953577615","5.6457194703747","-0.5405465290749","-0.2054640121342","5.3881392265735","4.6241592068369","5.5353026932853","3.1661502709532","-0.25675193099214","2.5377186978075","-1.8028744527118","4.583927315661","7.2366199935739","4.1696559543024","3.4626517127989","3.4595725553488","4.1770463844438","3.6726563285105","1.8859603230942","-0.10825910527866","3.5224424938664","2.7528443268801","4.0288390635428","2.6842871324198","3.7725013192652","4.4472163427341","4.4814075545121","4.7532359887972","4.1274840135585","0.9983407946565","1.7416952497298","2.8612107674102","3.7988911266239","3.513213796653","2.8549722917002","1.8761714584669","-0.13657980546074","-2.5367570658566","2.5637665587658","1.5508355056816","2.2495458523699","1.842081071011","2.4519730353603","2.8809104660522","1.5672151699786","2.2170103303188","2.9273227282109","2.3335774919429",".."
"United States","USA","Lending interest rate (%)","FR.INR.LEND","5.7233333333333","5.2483333333333","8.0216666666667","10.798333333333","7.8625","6.84","6.8241666666667","9.0566666666667","12.665833333333","15.265833333333","18.87","14.860833333333","10.794166666667","12.0425","9.9333333333333","8.3325","8.2033333333333","9.315","10.873333333333","10.009166666667","8.4633333333333","6.2516666666667","6","7.1383333333333","8.8291666666667","8.2708333333333","8.4416666666667","8.3541666666667","7.9941666666667","9.2333333333333","6.9216666666667","4.675","4.1225","4.34","6.1891666666667","7.9575","8.05","5.0875","3.25","3.25","3.25","3.25","3.25","3.25","3.26","3.5116666666667","4.0966666666667","4.9041666666667","5.2825",".."
"United States","USA","Real interest rate (%)","FR.INR.RINR","0.62261540444325","0.88721768829034","2.4097323357542","1.6510697048529","-1.2814270331491","1.266891593068","0.57507475770713","1.8899011034261","4.0345130977972","5.7164283275689","8.594585291156","8.177395439759","6.6181744504164","8.1410748438774","6.5633262934029","6.1938661585148","5.5925650802053","5.5903670918095","6.6906953418548","6.039744376706","4.9153524496992","3.8842400162986","3.5466887290514","4.89835613739","6.5940689003309","6.3240079486779","6.6034070387998","7.148191874172","6.4571349132678","6.8448441841136","4.6267568669172","3.0450711829911","2.2241011221949","1.6045889376331","2.9813567792705","4.7864476474923","5.2234058896543","3.0824112914406","2.468828896134","2.0607367090019","1.1373383201858","1.307083112783","1.4692992871519","1.332891841643","2.1674805681732","2.3919842868374","2.1549287275903","2.4858171056628","3.4781998344735",".."
